Artists,Name,Date,Genre,Writing.Credits,Features
Ed Sheeran,Cross Me,24-May-19,"Rap,R&;B,UK,Pop","Ed sheeran, Chance the rapper, Pnb rock, Fred gibson","Chance The Rapper, PnB Rock"
Meek Mill,Going Bad,30-Nov-18,"East Coast,Canada,Rap","Westen weiss, Wheezy, Drake, Meek mill",Drake
Khalid,Better,14-Sep-18,"Electro-Pop,Pop,R&;B","Tor erik hermansen, Mikkel storleer eriksen, Khalid, Charlie handsome, Digi, Denis kosiak",
"Lady Gaga, Bradley Cooper",Shallow,27-Sep-18,"Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop","Andrew wyatt, Anthony rossomando, Mark ronson, Lady gaga",
Cardi B,Press,31-May-19,"Hardcore Hip-Hop,Trap,Hip-Hop,Rap","Lewdini, Cardi b",
Dan + Shay,Speechless,18-May-18,Country,"Shay mooney, Jordan reynolds, Laura veltz, Dan smyers",
Travis Scott,Sicko Mode,3-Aug-18,"Hip-Hop,Memes,Rap,Canada,Trap","Mdbeats, Q tip, Travis scott, Tim gomringer, Swae lee, Sonny seeza, Richard finch, Mike dean, Luke, James jackson, Harry wayne casey, Easy mo bee, Drake, Chyskillz, Chylow parker, Brian higgins, Big hawk, Cubeatz, Hit boy, Oz, Roget chahayed, Tay keith",
"Tyler, The Creator",Earfquake,17-May-19,"Hip-Hop,Atlanta,Alternative R&;B,Experimental,Neo Soul,R&;B,Rap,Neo-Psychedelia,Alternative,Psychedelic","Playboi carti, Tyler the creator",
A Boogie Wit da Hoodie,Look Back At It,7-Dec-18,"Pop,Rap","Chrishan, Hitmaka, Jahaan sweet, A boogie wit da hoodie",
NLE Choppa,Shotta Flow,17-Jan-19,Rap,Nle choppa,
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",8-Feb-19,"Trap,Trip-Hop,Lo-Fi,R&;B,Pop","Kandi, Kevin shekspere briggs, Max martin, Ilya, Savan kotecha, Ariana grande",
Halsey,Nightmare,17-May-19,"Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop","Trevor horn, Sergio galoyan, Martin kierszenbaum, Elena kiper, Benny blanco, Cashmere cat, Happy perez, Halsey",
"YG, Tyga, Jon Z",Go Loko,3-May-19,"Trap,Puerto Rico,West Coast,Rap","Mustard, Jon z, Tyga, Yg",
Lewis Capaldi,Someone You Loved,8-Nov-18,"UK,Pop","Tom barnes, Pete kelleher, Ben kohn, Rmans, Lewis capaldi",
Thomas Rhett,Look What God Gave Her,1-Mar-19,Country,"Thomas rhett, Rhett akins, Julian bunetta, John ryan, Jacob kasher, Ammar malik",
Jonas Brothers,Cool,5-Apr-19,"Teen Pop,Pop-Rock,Pop","Ryan tedder, Casey smith, Zach skelton, Nick jonas, Joe jonas, Kevin jonas",
Offset,Clout,22-Feb-19,"East Coast,Motown,Rap","Tim gomringer, Kevin gomringer, Offset",Cardi B
"Marshmello, Kane Brown",One Thing Right,21-Jun-19,Pop,"Josh hoge, Jesse frasure, Matt mcginn, Marshmello, Kane brown",
Kane Brown,Good As You,19-Oct-18,Country,"Will weatherly, Taylor phillips, Shy carter, Brock berryhill",
YK Osiris,Worth It,8-Feb-19,"Rap,East Coast,R&;B","Kiwi, Travis mills, Kim candilora jr, Taz taylor, Orlando woods jr, Melvin goggins jr, Yk osiris",
DJ Khaled,Just Us,16-May-19,"Rap,R&;B","Mr dj, Big boi, Dj khaled, Andre 3000, Blu june, Brittany coney, Sza",SZA
Luke Bryan,Knockin' Boots,29-Mar-19,Country,"Jon nite, Gordie sampson, Hillary lindsey",
