Artists,Name,Date,Genre,Writing.Credits,Features
Drake,No Long Talk,18-Mar-17,"Trap,UK Rap,UK,Canada,Rap","Tim gomringer, Kevin gomringer, Cubeatz, Murda beatz, Giggs, Drake",Giggs
Drake,KMT,18-Mar-17,"Memes,Trap,UK Rap,UK,Canada,Rap","Chef pasquale, Drake, Giggs",Giggs
Drake,4422,18-Mar-17,"UK,Alternative R&;B,Canada,R&;B","Sampha, Francisgotheat",Sampha
Drake,Jorja Interlude,18-Mar-17,"Trap,Soul,Canada,UK,R&;B,Rap","Adrian x, Drake, Stevie wonder, Don mclean, 40, Jorja smith",
Drake,Madiba Riddim,18-Mar-17,"Pop,Canada,Dancehall","Drake, Frank dukes, Nineteen85",
Drake,Ice Melts,18-Mar-17,"Trap,Canada,Rap","Young thug, Drake",Young Thug
Drake,Do Not Disturb,18-Mar-17,"Canada,Rap","Snoh aalegra, Allen ritter, 40, Drake",
Drake,Glow,18-Mar-17,"R&;B,Canada,Soul,Rap","Illangelo, Drake, Kanye west, Ilsey, Anthony jeffries, Philip bailey, J sakiya sandifer, Gabriel garzon montano, Noah goldstein, Maurice white, 40, Kenza samir, Majid al maskati, Jordan ullman, Malik yusef",Kanye West
Ariana Grande,Everyday,20-May-16,"Electro-Pop,Trap,Rap,Pop","Ilya, Ariana grande, Savan kotecha, Future",Future
Drake,Can't Have Everything,18-Mar-17,"Canada,Rap","Jazzfeezy, Steve samson, Drake",
The Weeknd,Party Monster,18-Nov-16,"Canada,R&;B,Electro-Pop,Pop","The weeknd, Ben billions, Doc mckinney, Belly, Lana del rey",
Drake,Nothings Into Somethings,18-Mar-17,"Canada,Rap","Nabeyin, Paimon jahanbin, Ryan martinez, Nima jahanbin, Drake",
DJ Snake,Let Me Love You,4-Aug-16,"Electro-Pop,Tropical House,Canada,Electronic,Pop","Edwin perez, Teddy mendez, Steve marsden, Lumidee cedeno, Brian lee, Dj snake, Austin rosen, Justin bieber, Ali tamposi, Louis bell, Watt",Justin Bieber
Drake,Lose You,18-Mar-17,"Canada,Rap","Drake, 40, Stwo",
Drake,Since Way Back,18-Mar-17,"R&;B,Canada,Rap","40, R kelly, Partynextdoor, Drake",PARTYNEXTDOOR
Noah Cyrus,Make Me,15-Nov-16,"UK,Pop","Labrinth, Noah cyrus",Labrinth
Drake,Skepta Interlude,18-Mar-17,"Grime,Trap,UK Rap,UK,Canada,Rap","Skepta, Nana rogues",
Rick Ross,Trap Trap Trap,9-Mar-17,"Trap,Rap","Justin cox, Wale, Young thug, Rick ross","Young Thug, Wale"
Rae Sremmurd,Black Beatles,12-Aug-16,"Hip-Hop,Dirty South,Memes,Producer,Trap,Rap","Mike will made it, Gucci mane, Slim jxmmi, Swae lee",Gucci Mane
twenty one pilots,Heathens,16-Jun-16,"Electronic Rock,Alternative Rock,Indie Rap,Rap,Pop,Electro-Pop,Soundtrack,Screen",Tyler joseph,
Amine,Caroline,9-Mar-16,Rap,"Pasque, Amine",
Nicki Minaj,Regret In Your Tears,10-Mar-17,"Dancehall,Rap","Allen ritter, Boi 1da, Frank dukes, Starrah, Nicki minaj",
Little Big Town,Better Man,20-Oct-16,Country,Taylor swift,
"Nicki Minaj, Lil Wayne",Changed It,10-Mar-17,Rap,"Detail, Lil wayne, Nicki minaj",
Frank Ocean,Chanel,10-Mar-17,"Alternative Pop,R&;B,Pop,Rap",Frank ocean,
Lorde,Liability,9-Mar-17,"Alternative Pop,Alternative,New Zealand,Ballad,Piano,Pop","Jack antonoff, Lorde",
Bebe Rexha,I Got You,28-Oct-16,"House,Pop","Ben berger, Bebe rexha, Lauren christy, Jacob kasher, Ryan mcmahon, Ryan rabin",
Ed Sheeran,Dive,3-Mar-17,"UK,Pop","Ed sheeran, Benny blanco, Julia michaels",
Chris Young,Sober Saturday Night,13-Nov-15,Country,"Brett warren, Brad warren, Chris young",Vince Gill
Brad Paisley,Today,6-Oct-16,Country,"Brad paisley, Chris dubois, Ashley gorley",
PnB Rock,Selfish,24-Jun-16,"Trap,R&;B",Pnb rock,
Ed Sheeran,Happier,3-Mar-17,"UK,Pop","Ed sheeran, Ryan tedder, Benny blanco",
Future,Comin Out Strong,24-Feb-17,"Atlanta,Trap,Canada,Rap","Cirkut, High klassified, Detail, Belly, The weeknd, Future",The Weeknd
Shakira,Chantaje,28-Oct-16,"Latin Music,Reggaeton,En Espa\xc3\xb1ol,Pop","Kevin adg, Chan el genio, Kenai, Maluma, Shakira",Maluma
Jon Bellion,All Time Low,14-Apr-15,"Electro-Pop,Alternative Pop,Alternative Dance,Dance,Pop","Raul cubina, Mark williams, Travis mendes, Jon bellion",
Ariana Grande,Side To Side,20-May-16,"Reggae,Rap,Pop","Ilya, Savan kotecha, Alexander kronlund, Max martin, Nicki minaj, Ariana grande",Nicki Minaj
Ed Sheeran,New Man,3-Mar-17,"UK,Pop","Benny blanco, Jessie ware, Ammar malik, Ed sheeran",
Ed Sheeran,Supermarket Flowers,3-Mar-17,"UK,Pop","Benny blanco, Johnny mcdaid, Ed sheeran",
Ed Sheeran,What Do I Know?,3-Mar-17,"UK,Pop","Ed sheeran, Johnny mcdaid, Foy vance",
Ed Sheeran,How Would You Feel,17-Feb-17,"UK,Pop","Ed sheeran, Johnny mcdaid, Benny blanco",
Ed Sheeran,Eraser,3-Mar-17,"UK,Rap,Pop","Ed sheeran, Johnny mcdaid",
Future,Used To This,4-Nov-16,"Atlanta,Canada,Rap","Cassius jay, Stepbfly, Future, Zaytoven, Drake",Drake
Ed Sheeran,Hearts Don't Break Around Here,3-Mar-17,"UK,Pop","Ed sheeran, Johnny mcdaid",
Ed Sheeran,Barcelona,3-Mar-17,"UK,Pop","Amy wadge, Johnny mcdaid, Foy vance, Benny blanco, Ed sheeran",
Thomas Rhett,Star Of The Show,28-Oct-16,Country,"Ben hayslip, Rhett akins, Thomas rhett",
Blake Shelton,A Guy With A Girl,20-May-16,Country,"Brian simpson, Ashley gorley",
Shawn Mendes,Treat You Better,3-Jun-16,"Canada,Pop","Scott harris, Teddy geiger, Shawn mendes",
DJ Suede The Remix God,Cash Me Outside,31-Jan-17,"Memes,Rap,Remix,TV",Bhad bhabie,
Lana Del Rey,Love,18-Feb-17,"Indie Rock,Dream-Pop,Alternative,Alternative Pop,Pop","Emile haynie, Benny blanco, Rick nowels, Lana del rey",
"21 Savage, Metro Boomin",No Heart,15-Jul-16,"Atlanta,Memes,Trap,Rap","Cubeatz, Tim gomringer, Kevin gomringer, Southside, Metro boomin, 21 savage",
"Gucci Mane, Nicki Minaj",Make Love,24-Feb-17,"Trap,Beef,Rap","Southside, Detail, Nicki minaj, Gucci mane",
John Legend,Love Me Now,7-Oct-16,"Soundtrack,Gaming,R&;B","John ryan, Blake mills, John legend",
PARTYNEXTDOOR,Not Nice,21-Jul-16,"Dancehall,Pop,R&;B,Canada,Rap","Dre skull, Vybz kartel, Illangelo, Supa dups, Nineteen85, Drake, 40, Partynextdoor",
Niall Horan,This Town,29-Sep-16,"Adult Alternative,Adult Contemporary,Contemporary Folk,Ireland,Ballad,Singer-Songwriter,Folk,Acoustic,Pop","Niall horan, Jamie scott, Mike needle, Daniel bryer",
Future,Rent Money,17-Feb-17,"Atlanta,Trap,Rap","Jevon a tate, Maurice jordan kenoe, Future, Anthony tucker, Dj khaled",
Hey Violet,Guys My Age,20-Sep-16,Pop,"Cirkut, Jacob kasher, John ryan, Ilsey, Casey moreta, Miranda miller, Rena enea lovelis, Julian bunetta, Nia lovelis",
Dustin Lynch,Seein' Red,24-Jun-16,Country,"Jason sever, Steve bogard, Kurt allison, Tully kennedy",
Future,Super Trapper,17-Feb-17,"Atlanta,Trap,Rap","Dy krazy, Southside, Future",
Calum Scott,Dancing On My Own,15-Apr-16,"Cover,Pop","Robyn, Patrik berger",
Big Sean,No Favors,3-Feb-17,Rap,"Mark sebastian, Steve boone, John sebastian, Bach nguyen tran, Starrah, Wondagurl, Eminem, Big sean",Eminem
Future,Zoom,17-Feb-17,"Trap,Rap","Future, Southside, Llmind, Eduardo earle jr",
"Hailee Steinfeld, Grey",Starving,15-Jul-16,"Dance-Pop,Dance,Electronic,Pop","Chris petrosino, Rob mccurdy, Asia whiteacre, Michael trewartha, Kyle trewartha",Zedd
"Zay Hilfigerrr, Zayion McCall",Juju On That Beat,26-Jul-16,"Memes,Dance,Rap","Zay hilfigerrr, Zayion mccall",
"Nick Jonas, Nicki Minaj",Bom Bidi Bom,9-Feb-17,"Rap,Soundtrack,Pop","Sebastian barac, Marcel botezan, Jason evigan, Breyan isaac, Nicki minaj",
Sia,Helium,9-Feb-17,"Soundtrack,Pop","Chris braide, Sia",
Romeo Santos,Heroe Favorito,3-Feb-17,"En Espa\xc3\xb1ol,Latin Music,Latin Pop,Bachata,Pop","Joaquin diaz, Romeo santos",
Kaleo,Way Down We Go,7-Aug-15,"Alternative,Alternative Rock,Adult Alternative,Blues Rock,Rock",Jokull juliusson,
Kodak Black,Everything 1K,11-Jun-16,Rap,Kodak black,
Brett Eldredge,Wanna Be That Song,11-Sep-15,Country,"Travis hill, Ross copperman, Brett eldredge",
Rihanna,Sex With Me,28-Jan-16,"Pop,R&;B","Chris hansen, Boi 1da, Rihanna, Partynextdoor, Vinylz",
G,Some Kind Of Drug,4-Dec-15,Rap,"Mike woods, Kevin white, Marc e bassy, Christoph andersson, G eazy",
Sia,Cheap Thrills,10-Feb-16,"Jamaica,Remix,Australia,Rap,Synth-Pop,Pop","Sean paul, Greg kurstin, Sia",Sean Paul
The Chainsmokers,Don't Let Me Down,5-Feb-16,"Electronic Trap,Electronic,Pop","Scott harris, Emily warren, Andrew taggart",Daya
Sia,The Greatest,5-Sep-16,"Australia,LGBTQ+,Rap,Pop","Blair mackichan, Kendrick lamar, Greg kurstin, Sia",Kendrick Lamar
Lady Gaga,Bad Romance,26-Oct-09,"Electronic,Synth-Pop,Electro-Pop,Dance-Pop,Pop","Redone, Lady gaga",
Fitz And The Tantrums,HandClap,25-Mar-16,"Adult Alternative,Alternative Dance,Electro-Pop,Indie Pop,Neo Soul,Alternative Pop,Alternative,Pop","Ricky reed, Fitz and the tantrums, Sam hollander",
Big Sean,Sacrifices,3-Feb-17,"Trap,Rap","Big sean, Quavo, Offset, Allen ritter",Migos
Big Sean,Halfway Off The Balcony,13-Jan-17,Rap,"Maximilian jaeger, Amaire johnson, Big sean",
Big Sean,Jump Out The Window,3-Feb-17,"Trap,Rap","Dj camper, Key wane, Poo bear, Big sean",
Big Sean,Owe Me,3-Feb-17,Rap,"Amaire johnson, Mustard, Big sean",
"Ariana Grande, John Legend",Beauty And The Beast,3-Feb-17,"Ballad,Disney,Musicals,Soundtrack,Pop","Howard ashman, Alan menken",
Mariah Carey,I Don't,3-Feb-17,"R&;B,Pop","Yg, Donell jones, Kyle west, Mariah carey",YG
Maren Morris,80s Mercedes,6-Nov-15,Country,"Busbee, Maren morris",
DJ Luke Nasty,OTW,12-May-16,Rap,Dj luke nasty,
Big Sean,Light,3-Feb-17,Rap,"Garry glenn, Amaire johnson, Big sean",Jeremih
Migos,Kelly Price,27-Jan-17,"Trap,Rap","Deraj global, Cash clay, Travis scott, Quavo, Takeoff",Travis Scott
Keith Urban,Blue Ain't Your Color,6-May-16,Country,"Steven lee olsen, Hillary lindsey, Clint lagerberg",
"21 Savage, Metro Boomin",X,15-Jul-16,"Atlanta,Trap,Rap","Metro boomin, 21 savage, Future",Future
Migos,Call Casting,3-Jan-17,"Trap,Rap","Rubin long sanders, Buddah bless, Offset, Takeoff, Quavo",
Major Lazer,Run Up,26-Jan-17,"Electro-Pop,Dancehall,Electronic,Dance,Rap,Canada,Pop","Tor erik hermansen, Mikkel storleer eriksen, Diplo, Jr blender, Nicki minaj","PARTYNEXTDOOR, Nicki Minaj"
Missy Elliott,I'm Better,26-Jan-17,Rap,"Young yonny, Steven kubie, Derrick l baker, Lamb, Missy elliott",Lamb
Migos,Get Right Witcha,27-Jan-17,"Trap,Rap","Zaytoven, Murda beatz, Takeoff, Offset, Quavo",
Granger Smith,If The Boot Fits,14-Mar-16,Country,"Andy albert, Jordan schmidt, Mitchell tenpenny",
Carrie Underwood,Dirty Laundry,5-Sep-16,Country,"Ashley gorley, Hillary lindsey, Zach crowell",
Andy Grammer,Fresh Eyes,29-Jul-16,Pop,"Andy grammer, Ross golan, Ian kirkpatrick",
Migos,Culture,27-Jan-17,"Trap,Rap","Trepounds, Dy krazy, Dj khaled, Offset, Takeoff, Quavo",DJ Khaled
Rob $tone,Chill Bill,15-Mar-16,Rap,"Bernard herrmann, Purp dogg, J davi, Spooks, Rob stone","J. Davi$, Spooks"
John Mayer,Love On The Weekend,17-Nov-16,"Producer,Singer-Songwriter,Adult Alternative,Adult Contemporary,Blues Rock,Pop-Rock,Rock,Pop",John mayer,
Drake,Sneakin',23-Oct-16,"Producer,Canada,Trap,Rap","21 savage, Drake",21 Savage
Old Dominion,Song For Another Time,20-Jun-16,Country,"Trevor rosen, Matthew thomas ramsey, Matt jenkins, Brad tursi",
Flume,Say It,22-Apr-16,"Australia,Future Bass,Electronic,Pop","Flume, Tove lo, Daniel johns",Tove Lo
Ugly God,Water,16-Mar-16,"Trap,Memes,Rap","Danny wolf, Ugly god",
Wale,Running Back,19-Jan-17,"Trap,Rap","Spinz beats inc, Lil wayne, Wale",Lil Wayne
Lil Uzi Vert,You Was Right,15-Apr-16,"East Coast,Trap,Rap","Metro boomin, Lil uzi vert",
"Martin Garrix, Bebe Rexha",In The Name Of Love,29-Jul-16,"Nederland,Future Bass,Electro-Pop,Dance-Pop,Pop","Cmc edm, Martin garrix, Matt rad, Ruthanne, Steve james, Ilsey",
Halsey,Not Afraid Anymore,13-Jan-17,"Dance,Alternative Pop,Alternative,Soundtrack,Pop","Adam messinger, Nasri atweh, Daheala, Halsey",
21 Savage,Red Opps,2-Jul-15,"Trap,Rap",21 savage,
J. Cole,Neighbors,9-Dec-16,"Hip-Hop,Trap,Rap","Ronnie foster, Anthony parrino, J cole",
A Boogie Wit da Hoodie,Timeless,5-Oct-16,Rap,A boogie wit da hoodie,DJ SPINKING
Chris Stapleton,Parachute,5-May-15,Country,"Chris stapleton, Jim beavers",
The Chainsmokers,All We Know,30-Sep-16,"Dance,Electronic,Pop","Shy martin, Shy nodi, Andrew taggart, Phoebe ryan",Phoebe Ryan
"Steve Aoki, Louis Tomlinson",Just Hold On,10-Dec-16,"Dance-Pop,UK,Electronic,Dance,Pop","Steve aoki, Sasha sloan, Sir nolan, Louis tomlinson, Eric rosse",
Travis Scott,Beibs In The Trap,2-Sep-16,"Cloud Rap,Psychedelic,Trap,Canada,Rap","Nav, Travis scott",
Young M.A,OOOUUU,12-May-16,Rap,Young ma,
Florida Georgia Line,May We All,15-Jul-16,"Pop Country,Country","Jamie moore, Rodney clawson",Tim McGraw
Brett Young,Sleep Without You,11-Apr-16,Country,"Justin ebach, Brett young, Kelly archer",
Sam Hunt,Drinkin' Too Much,6-Jan-17,Country,"Sam hunt, Shane mcanally, Zach crowell, Stuart k hine",
J. Cole,Immortal,9-Dec-16,Rap,J cole,
Russ,What They Want,19-Aug-15,"Producer,Rap",Russ,
X Ambassadors,Unsteady,30-Jun-15,"Adult Alternative,Alternative Rock,Indie Rock,Soundtrack,Pop,Rock","Adam levin, Sam harris, A grant, Casey harris, Noah feldshuh",
DJ ESCO,Too Much Sauce,24-Jun-16,"East Coast,Trap,Rap","Zaytoven, Dj esco, Future, Lil uzi vert","Future, Lil Uzi Vert"
Tim McGraw,How I'll Always Be,6-Sep-15,Country,"Jeremy stover, Jamie paulin, Chris janson",
Pentatonix,Hallelujah,21-Oct-16,"A Cappella,Christmas,Pop",Leonard cohen,
Daddy Yankee,Shaky Shaky,8-Apr-16,"En Espa\xc3\xb1ol,Reggaeton,Rap","Daddy yankee, Dj urba",
YFN Lucci,Key To The Streets,11-Feb-16,Rap,"Takeoff, Quavo, Trouble, Yfn lucci","Migos, Trouble"
"Opetaia Foa'i, Lin",We Know The Way,18-Nov-16,"Disney,Soundtrack,Pop","Opetaia foai, Lin manuel miranda",
Wham!,Careless Whisper,,"Eighties,R&;B,Pop,Jazz","Andrew ridgeley, George michael",George Michael
George Michael,Faith,,"Blue-Eyed Soul,Pop,Soul,R&;B,Funk,Rock",George michael,
Young Thug And Travis Scott,Pick Up The Phone,3-Jun-16,"Atlanta,Motown,Trap,Rap","Allen ritter, Vinylz, Mike dean, Frank dukes, Young thug, Quavo, Travis scott, Starrah",Quavo
Kodak Black,No Flockin,25-Aug-14,"Trap,Rap",Kodak black,
"Nicki Minaj, Mike WiLL Made",Black Barbies,15-Nov-16,"Remix,Rap","Mike will made it, Nicki minaj, Swae lee",
Olivia O'Brien,Hate U Love U,9-Dec-16,Pop,Olivia obrien,
Pentatonix,"Mary, Did You Know?",21-Oct-14,Pop,"Pentatonix, Michael english",
DJ Khaled,Do You Mind,28-Jul-16,"DMV,R&;B,Rap","Lee on the beats, Lvm, Dj nasty, Ralph jeanty, Sean mcmillion, Michael tyrone johnson, Dj khaled, Kevin cossom, Future, Nicki minaj, Jeremih, Rick ross","Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future"
J. Cole,Change,9-Dec-16,"Boom Bap,Rap",J cole,
J. Cole,Ville Mentality,8-Dec-16,Rap,J cole,
J. Cole,For Whom The Bell Tolls,9-Dec-16,Rap,J cole,
The Weeknd,Six Feet Under,25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","The weeknd, Future, Doc mckinney, Ben billions, Metro boomin, Cirkut, Belly, Daheala",
The Weeknd,Sidewalks,25-Nov-16,"West Coast,Canada,Rap,R&;B,Electro-Pop,Pop","Bobby raps, The weeknd, Doc mckinney, Daniel wilson, Kendrick lamar, Ali shaheed muhammad",Kendrick Lamar
J. Cole,Foldin Clothes,9-Dec-16,"Neo Soul,Soul,Electro-Soul,Electro-Funk,Funk Rock,R&;B,Funk,Alternative,Alternative Rock,Lo-Fi,Rap",J cole,
J. Cole,4 Your Eyez Only,9-Dec-16,"Boom Bap,Rap",J cole,
J. Cole,False Prophets,1-Dec-16,"Boom Bap,Rap",J cole,
J. Cole,Everybody Dies,2-Dec-16,"Boom Bap,Rap",J cole,
PARTYNEXTDOOR,Come And See Me,20-Mar-16,"Pop,Rap,Canada,R&;B","40, Partynextdoor, Drake",Drake
Post Malone,Deja Vu,9-Sep-16,"Trap,Pop,Canada,Rap","Matthew tavares, Austin rosen, Trocon markous roberts, Julkeyz, Vinylz, Louis bell, Kaan gunesberk, Frank dukes, Post malone, Justin bieber",Justin Bieber
Kenny Chesney,Setting The World On Fire,28-Jul-16,Country,"Josh osborne, Matt jenkins, Ross copperman",P!nk
The Weeknd,Die For You,25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","William thomas walsh, Cashmere cat, Dylan wiggins, Prince85, Doc mckinney, The weeknd",
Calvin Harris,This Is What You Came For,29-Apr-16,"Electro House,House,Electro-Pop,Memes,Electronic,Dance-Pop,Dance,Pop","Taylor swift, Calvin harris",Rihanna
twenty one pilots,Ride,11-May-15,"Soundtrack,Adult Alternative,Alternative Pop,Indie Rock,Alternative Rock,Indie Pop,Electro-Pop,Reggae,Pop",Tyler joseph,
Rihanna,Needed Me,28-Jan-16,"Pop,R&;B","Sickdrumz, Derrus rachel, Nick audino, Lewis hughes, Khaled rohaim, Kuk harrell, Frank dukes, Mustard, Rihanna, Prince charlez, Starrah",
Drake,One Dance,5-Apr-16,"Nigeria,Afrobeats,Pop,Rap,R&;B,Dancehall,Canada","Logan sama, China black, Drake, Dj maphorisa, Crazy cousinz, Kyla, Wizkid, 40, Nineteen85","WizKid, Kyla"
Desiigner,Tiimmy Turner,21-Jul-16,"Horrorcore,Trap,Rap","Mike dean, Desiigner",
The Weeknd,Secrets,25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","Michael skill, James marinos, George canler, Sir dylan, Cirkut, Pete solley, Wally palamarchuk, Ronald orzabal, Doc mckinney, The weeknd",
Childish Gambino,Me And Your Mama,10-Nov-16,"Alternative R&;B,Funk,Blues Rock,Neo-Psychedelia,Psychedelic,P-Funk,Rock,R&;B","Childish gambino, Bernie grundman, Ludwig goransson, Zac rae",
gnash,Home,28-Oct-16,Pop,"Johnny yukon, Gnash",Johnny Yukon
The Weeknd,True Colors,25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","Swishh, Jake one, Benny blanco, Cashmere cat, William thomas walsh, Starrah, The weeknd",
Cole Swindell,Middle Of A Memory,6-May-16,Country,"Ashley gorley, Zach crowell, Cole swindell",
The Weeknd,Rockin',25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","The weeknd, Max martin, Peter svensson, Savan kotecha, Ali payami, Belly",
The Weeknd,All I Know,25-Nov-16,"Canada,Rap,R&;B,Electro-Pop,Pop","Ben billions, Belly, Cashmere cat, Future, The weeknd",Future
Fifth Harmony,That's My Girl,27-May-16,"Teen Pop,Power Pop,R&;B,Girl Group,Pop","Lukas lulou loules, Alexander kronlund, Tinashe",
The Weeknd,False Alarm,28-Sep-16,"Canada,R&;B,Pop,Electro-Pop","The weeknd, Doc mckinney, Belly, Ben billions, Cirkut",
The Weeknd,Attention,25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","Frank dukes, Mustafa ahmad, Cashmere cat, Benny blanco, William thomas walsh, The weeknd",
The Weeknd,Ordinary Life,25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","Belly, Doc mckinney, Cirkut, Ali payami, Savan kotecha, Peter svensson, Max martin, The weeknd",
The Weeknd,Stargirl Interlude,25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","Lana del rey, The weeknd, Doc mckinney, Labrinth",Lana Del Rey
The Weeknd,Nothing Without You,25-Nov-16,"Canada,R&;B,Electro-Pop,Pop","Ben billions, Belly, Cirkut, Diplo, Daheala, The weeknd",
The Weeknd,Love To Lay,24-Nov-16,"Canada,R&;B,Electro-Pop,Pop","Belly, Ali payami, Savan kotecha, Peter svensson, Max martin, The weeknd",
Kehlani,Distraction,22-Jul-16,R&;B,"Oak, Matthew campfield, Daniel klien, Andrew pop wansel, Kehlani",
Jason Aldean,A Little More Summertime,15-Jul-16,Country,"Tony martin, Wendell mobley, Jerry flowers",
Rae Sremmurd,Look Alive,14-Apr-16,"Trap,Rap","Swae lee, Slim jxmmi",
Kanye West,Fade,16-Sep-15,"West Coast,Deep House,Electro-Hop,Electronic,House,Pop,Producer,Rap","Static major, Samo sound boy, Jerome lol, Benji b, Noah goldstein, Charlie handsome, Mike dean, Anthony kilhoffer, Post malone, Ty dolla sign, Kanye west",
"Frenship, Emily Warren",Capsize,15-Apr-16,Pop,"Scott hoffman, Emily warren, Frenship",
Kiiara,Gold,25-Oct-15,"Glitch,Electro-Pop,Electronic,Pop","Felix snow, David vine, Kiiara",
Desiigner,Panda,15-Dec-15,"UK,Hardcore Hip-Hop,Hip-Hop,Producer,East Coast,Trap,Memes,Rap","Menace, Desiigner",
Tory Lanez,Luv,10-Jun-16,"Dancehall,Canada,Rap,R&;B","Benny blanco, Anthony st aubyn kelly, Mark anthony, Stephen john marsden, Wayne burton, Magnus hoiberg, Tory lanez",
Calvin Harris,My Way,16-Sep-16,"Tropical House,Pop",Calvin harris,
Zara Larsson,Ain't My Fault,2-Sep-16,"Scandinavia,Pop","Markus sepehrmanesh, Mnek, Zara larsson",
Luke Bryan,Move,7-Aug-15,Country,"Luke bryan, Michael carter, Jay clementi",
Britney Spears,Slumber Party,15-Nov-16,"Remix,Pop","Justin tranter, Julia michaels, Robin fredriksson, Mattias larsson",Tinashe
Miranda Lambert,Vice,18-Jul-16,Country,"Shane mcanally, Josh osborne, Miranda lambert",
Meek Mill,Litty,27-Oct-16,"Trap,Beef,Rap","Raul gonzalez, Sound mob, Meek mill, Tory lanez",Tory Lanez
Pitbull,Greenlight,22-Jul-16,"Rap,Pop","Pitbull, Flo rida, Lunchmoney lewis, Dr luke, Cirkut","Flo Rida, LunchMoney Lewis"
Eminem,Infinite,,Rap,"Mr porter, Eminem",
Chance The Rapper,No Problem,12-May-16,Rap,"Themind, Rachel cato, Lil wayne, Lakeitsha williams, Jonathan hoard, Jeff lane, Jamie woods, James francies, Haha davis, Chance the rapper, Cam obi, Brasstracks, Ashwin torke, 2 chainz","Lil Wayne, 2 Chainz"
Drake,Too Good,29-Apr-16,"Dancehall,Canada,Rap","Maneesh, Dre skull, Popcaan, A martin, Supa dups, Nineteen85, Rihanna, Drake",Rihanna
Charlie Puth,We Don't Talk Anymore,24-May-16,Pop,"Charlie puth, Selena gomez, Jacob kasher",Selena Gomez
Leonard Cohen,Hallelujah,,"Eighties,Adult Alternative,Indie Pop,Alternative Pop,Alternative Rock,Indie Rock,Indie,Alternative,Folk Rock,Singer-Songwriter,Ballad,Rock,Folk",Leonard cohen,
A Tribe Called Quest,We The People....,11-Nov-16,"Conscious Hip-Hop,Boom Bap,Politics,East Coast,Rap","Ozzy osbourne, Tony iommi, Geezer butler, Bill ward, Phife dawg, Q tip",
The Chainsmokers,Setting Fires,4-Nov-16,"Electro-Pop,Dance,Electronic,Pop","Melanie fontana, Jon asher, Xyl, Andrew taggart",XYLO
Billy Currington,It Don't Hurt Like It Used To,2-Jun-15,Country,"Shy carter, Cary barlowe, Billy currington",
Little Mix,Shout Out To My Ex,16-Oct-16,"Dance-Pop,Power Pop,Girl Group,UK,Pop","Kamille, Edvard frre erfjord, Iain james, Jade thirlwall, Perrie edwards, Jesy nelson, Leigh anne pinnock, Henrik michelsen, Ed drewett",
DJ Drama,Wishing,6-May-16,"West Coast,R&;B,Rap","Lyquin, Jnatbeats, Barron murray, Skeme, Dj drama, Chris brown","Chris Brown, Skeme, Lyquin"
Daya,"Sit Still, Look Pretty",4-Sep-15,Pop,"Scott bruzenak, Mike campbell, Britten newbill, Farrago",
Lil Uzi Vert,Money Longer,6-Feb-16,"East Coast,Cloud Rap,Trap,Rap","Maaly raw, Dj don cannon, Lil uzi vert",
Usher,No Limit,9-Jun-16,"Trap,R&;B,Rap","Christopher perry, Keith thomas, Bam, Usher, R city, Young thug",Young Thug
LOCASH,I Know Somebody,,Country,"Rhett akins, Jeremy stover, Ross copperman",
The Game,All Eyez,20-Jun-16,"R&;B,Rap","Hitmaka, Scott storch, Jeremih, The game",Jeremih
Dae Dae,Wat U Mean,26-Apr-16,"Trap,Rap",Dae dae,
Beyonce,Hold Up,23-Apr-16,"Pop,R&;B","Nick zinner, Karen o, Brian chase, Soulja boy tell em, Kevin mcconnell, Antonio randolph, Mort shuman, Emile haynie, Doc pomus, Melo x, Mnek, Ezra koenig, Beyonce, Father john misty, Diplo",
Kehlani,Gangsta,1-Aug-16,R&;B,"Jmike, Djemba djemba, Myron birdsong, Jason evigan, Jacob luttrell, Skylar grey, Kehlani",
Coldplay,Hymn For The Weekend,25-Jan-16,"UK,Pop,Rock","Will champion, Guy berryman, Jonny buckland, Chris martin",
Meek Mill,Froze,27-Oct-16,"Trap,Rap","Sonny digital, Lil uzi vert, Nicki minaj, Meek mill","Lil Uzi Vert, Nicki Minaj"
Meek Mill,Offended,27-Oct-16,"Atlanta,Rap,Trap","Cubeatz, Murda beatz, Oz, Meek mill, Young thug, 21 savage","Young Thug, 21 Savage"
Drake,"Two Birds, One Stone",23-Oct-16,"Canada,Rap","Jordan francis, Jon castelli, 40, Kanye west, Drake",
Meek Mill,On The Regular,27-Oct-16,"Trap,Rap","Rara, Norman landsberg, John ventura, Rodriguez smith, Felix pappalardi, Leslie west, Carl orff, Mp 808, Meek mill",
Meek Mill,The Difference,27-Oct-16,"Trap,Rap","Sonny digital, Desiigner, Quavo, Meek mill",Quavo
Meek Mill,Blue Notes,27-Oct-16,Rap,"Butter beats, Meek mill",
